テーマ（カテゴリ）,トピック（タイトル）,"質問(What, Who, Where, Whose, How, Yes/No)",解答,難易度（出題者）,難易度（解答者）,URL（元文書）
文化,ブレイキング・バッド,ウォルター・ホワイトは、卒業後、誰と、後に大企業となる会社を創設したか？,エリオット・シュワルツ,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、何の病気であると診断されたか？,肺がん,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、なぜ、メス（メタンフェタミン）の密造を余儀なくされていくのか？,肺がんであると診断され、多額の治療費が必要な状況になったため,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは、ドラッグ売買の知識がないため、誰と手を組むことを選んだか？,ジェシー・ピンクマン,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトの生成したメスは既存のものに比べてより純度が高く効果も高いか？,YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトの生成したメスはなんと名付けられたか？,ブルーメス,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトの裏の世界での通り名はなにか？,ハイゼンベルグ,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトの裏の通り名はハイゼンベルグであるが、これは何で有名な物理学者から借用しているか？,不確定性原理,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトは裏の世界の大物「ハイゼンベルグ」として活躍するときは、何と何を着用することが多いか？,黒の帽子とサングラス,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ウォルター・ホワイトのシリーズ開始時の愛車の名称？,2004年式ポンティアック・アズテック,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは誰が演じたか？,アーロン・ポール,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシー・ピンクマンは、なんと名乗り、メス精製を行っていたか？,キャプテン・クック,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシー・ピンクマンは、シリーズ開始時の年齢は何歳だったか？,25歳,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンの身長は何cmか？,180cm,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンの血液型は？,A型,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは、なんのアレルギーがあるか？,エリスロマイシン,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは、何味のメタンフェタミンを製造していたか？,チリソース味,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンはウォルターによって化学の単位を落第させられた。,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシーは化学の成績が優秀だった。,NO,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―はアルバカーキの貧困な家庭に生まれか？,NO,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは、ドラッグの濫用癖により家から追い出されたか？,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは家から追い出され、おばと同居していた。,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは家から追い出され、友人の家で暮らしていた。,NO,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは家から追い出され、ホームレス生活をしていた。,NO,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは年齢の離れた優秀な弟がいる。,YES,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは年齢の近い優秀な弟がいる。,NO,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは年齢の離れた優秀な妹がいる。,NO,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンは弟がいるせいか、子供が非常に好きである。,YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシー・ピンクマンは暴力に対して消極的である。,YSE,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシー・ピンクマンは暴力に対して積極的である。,NO,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンはウォルターのメス製造に立ち会っていくうちに高純度の精製を覚える。,YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―は当初シーズン1で死亡するはずであったか？,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ジェシ―・ピンクマンのシリーズ開始時の愛車の名称？,シボレー・モンテカルロ,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主人公
文化,ブレイキング・バッド,ソウル・グッドマンは誰が演じたか？,ボブ・オデンカーク,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンが初登場したのは何話？,シーズン2の第8話,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンは弁護士。アルバカーキでは知名度が高い。,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンは弁護士。裏では金のために犯罪者を相手とした仕事も請け負っている。,YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンは善良な弁護士。,NO,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンがウォルターとジェシ―と知り合ったきっかけとなった人の名前は？,ジェシーの友人のバッシャー,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンは仕事においては有能である。,YES,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,ソウル・グッドマンは仕事において無能である。,NO,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは誰が演じた？,ジョナサン・バンクス,4,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトが初登場したのは何話？,シーズン2の第13話,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトの名字が明らかになったのは何話？,シーズン4の第11話,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは暗殺も行う。,YES,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは、かつてはフィラデルフィアで警官を務めていた。,YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは、かつては陸軍で勤めていた。,NO,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは、かつてはどこで警官を務めていたか？,フィラデルフィア,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは寡黙な性格である。,YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトは多弁な性格である。,NO,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,マイク・エルマントラウトの血液型は？,O型,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは誰が演じた？",ジャンカルロ・エスポジート,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングが初登場したのは何話？",シーズン2の第11話,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは縁なしの眼鏡を着用している。",YES,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは黒縁の眼鏡を着用している。",NO,2,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは何の専門店であるロスポヨスの経営者か？",フライドチキン,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは極めて慎重な性格である。",YES,3,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングは極めて怠惰な性格である。",NO,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングの裏の顔はアメリカ南西部のドラッグの流通を牛耳るマフィアのボスである。",YES,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングの裏の顔はDEAの捜査官である。",NO,1,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ブレイキング・バッド,"グスタボ・""ガス""・フリングの血液型は？",O型,5,,https://ja.wikipedia.org/wiki/ブレイキング・バッド#主要人物
文化,ベター・コール・ソウル,ベター・コール・ソウルは『ブレイキング・バッド』に登場する誰を主役としたスピンオフシリーズか？,ソウル・グッドマン,1,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル
文化,ベター・コール・ソウル,ベター・コール・ソウルの物語はソウルが『ブレイキング・バッド』に登場する6年前の何年から始まる？,2002年,4,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル#概要
文化,ベター・コール・ソウル,ソウル・グッドマンの本名は？,ジミー（ジェームズ）・マッギル,1,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル#メインキャスト
文化,ベター・コール・ソウル,マイク・エルマントラウトはどこの駐車場管理人をしている？,裁判所,2,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル#メインキャスト
文化,ベター・コール・ソウル,ブレイキング・バッドの出来事の後、ソウル・グッドマンはどこで仮名を使い、シナボンの店長として隠れ住んでいるか？,ネブラスカ州オハマ,4,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル#シーズン1
文化,ベター・コール・ソウル,ブレイキング・バッドの出来事の後、ソウル・グッドマンはネブラスカ州オハマで仮名を使い、なんの店長として隠れ住んでいるか？,シナボン,2,,https://ja.wikipedia.org/wiki/ベター・コール・ソウル#シーズン1
文化,ゲーム・オブ・スローンズ,『ゲーム・オブ・スローンズ』（原題：Game of Thrones）は、誰のファンタジー小説シリーズ『氷と炎の歌』を原作としているか？,ジョージ・R・R・マーティン,1,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ
文化,ゲーム・オブ・スローンズ,『ゲーム・オブ・スローンズ』（原題：Game of Thrones）は、ジョージ・R・R・マーティン著のファンタジー小説シリーズのなにを原作としているか？,氷と炎の歌,1,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ
文化,ゲーム・オブ・スローンズ,ウェスタロスは、一つの季節が不規則に数年間も続く。,YES,1,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ#背景
文化,ゲーム・オブ・スローンズ,幼いシオン・グレイジョイはスターク家の人質となってウィンターフェルで育てられたか？,YES,1,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ#背景
文化,ゲーム・オブ・スローンズ,幼いシオン・グレイジョイはラニスター家の人質となってウィンターフェルで育てられたか？,NO,1,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ#背景
文化,ゲーム・オブ・スローンズ,ゲーム・オブ・スローンズは、小説に比べてドラマの登場人物は増えている。,NO,3,,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ#プロット
文化,マッドマックス 怒りのデス・ロード,『マッドマックス 怒りのデス・ロード』（マッドマックス いかりのデス・ロード、原題：Mad Max: Fury Road マッドマックス: フューリー ロード）は、何年公開のオーストラリアの映画作品か？,2015年,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード
文化,マッドマックス 怒りのデス・ロード,『マッドマックス 怒りのデス・ロード』（マッドマックス いかりのデス・ロード、原題：Mad Max: Fury Road マッドマックス: フューリー ロード）は、2015年公開のどの国の映画作品か？,オーストラリア,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード
文化,マッドマックス 怒りのデス・ロード,マッドマックス 怒りのデス・ロードは、第88回アカデミー賞では何部門にノミネートされたか？,10部門,3,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード
文化,マッドマックス 怒りのデス・ロード,マッドマックス 怒りのデス・ロードは、第88回アカデミー賞では何部門を受賞したか？,6部門,2,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード
文化,マッドマックス 怒りのデス・ロード,マックスの本名は？,マクシミリアン・ロカタンスキー（Maximillian Rockatansky）,3,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,マックスは、放射能障害の影響により短命なウォーボーイズ構成員である誰の輸血ドナーとして採血されるために拘束されていたか？,ニュークス,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,マックスはどちらの足に金属製歩行補助器を付けているか？,左足,3,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,フュリオサ大隊長の本名は？,フュリオサ・ジョ・バサ（Furiosa Jo Basa）,3,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,フュリオサはどちらの腕に金属製義手を装着しているか？,左腕,2,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,ニュークスの首の付根の左側に病変腫の大小2つの瘤がある。それぞれなんと名付けられているか？,ラリーとバリー,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,ニュークスの上半身前面にスカリフィケーションによる何の紋様が施されているか？,V8エンジン,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,イモ―タン・ジョ―の本名は？,ジョー・ムーア,4,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#主要人物
文化,マッドマックス 怒りのデス・ロード,ドーフ・ウォリアーのエレキギターには何がついているか？,火炎放射器,1,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#シタデル砦の人物
文化,マッドマックス 怒りのデス・ロード,人食い男爵は股間に何を装着しているか？,ガスマスク,5,,https://ja.wikipedia.org/wiki/マッドマックス_怒りのデス・ロード#シタデル砦の人物
文化,仮面ライダーエグゼイド,平成仮面ライダーシリーズの第何作目か？,第18作目,4,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド#概要
文化,仮面ライダーエグゼイド,宝生永夢は何歳のときに交通事故に遭ったか？,8歳,4,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド#登場人物
文化,仮面ライダーエグゼイド,宝生永夢の血液型は？,AB型,5,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド#登場人物
文化,仮面ライダーエグゼイド,仮面ライダーエグゼイドは全何話か？,45話,1,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド
文化,仮面ライダーエグゼイド,仮面ライダーエグゼイドのメイン監督は誰か？,中澤祥次郎,4,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド#モチーフ
文化,仮面ライダーエグゼイド,仮面ライダーエグゼイドで「ゲーム」と「医療」のモチーフが組み合わされた理由は？,それぞれでの命の扱われ方が真逆であるから,3,,https://ja.wikipedia.org/wiki/仮面ライダーエグゼイド#モチーフ
文化,ウエストワールド（テレビドラマ）,ウエストワールド（テレビドラマ）のシーズン1は何年に放送されたか？,2016年,2,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#概要
文化,ウエストワールド（テレビドラマ）,1973年の同名の映画『ウエストワールド』に基づいている,YES,1,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#概要
文化,ウエストワールド（テレビドラマ）,日本の江戸時代をテーマにしたパークも登場する,YES,1,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#概要
文化,ウエストワールド（テレビドラマ）,音楽は誰が担当したか？,ラミン・ジャヴァディ,2,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#音楽
文化,ウエストワールド（テレビドラマ）,ロバート・フォード博士は誰が演じたか？,アンソニ―・ホプキンス,1,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#メイン
文化,ウエストワールド（テレビドラマ）,ウエストワールド（テレビドラマ）のOPはどこが製作したか？,Elastic,5,,https://ja.wikipedia.org/wiki/ウエストワールド_(テレビドラマ)#製作準備
文化,アメリカン・ゴッズ（テレビドラマ）,アメリカン・ゴッズの主人公の名前は？,シャドウ・ムーン,2,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#概要
文化,アメリカン・ゴッズ（テレビドラマ）,アメリカン・ゴッズのシーズン1では誰がショーランナーを務めたか？,ブライアン・フラー,4,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#概要
文化,アメリカン・ゴッズ（テレビドラマ）,アメリカン・ゴッズのシーズン1では誰がショーランナーを務めたか？,マイケル・グリーン,4,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#概要
文化,アメリカン・ゴッズ（テレビドラマ）,グローバライゼーションをつかさどる新しき神の名前は？,ミスター・ワールド,2,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#メイン
文化,アメリカン・ゴッズ（テレビドラマ）,テクノロジーをつかさどる新しき神の名前は？,テクニカル・ボーイ,2,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#メイン
文化,アメリカン・ゴッズ（テレビドラマ）,ミスター・ウェンズデイは誰が演じたか？,イアン・マクシェーン,4,,https://ja.wikipedia.org/wiki/アメリカン・ゴッズ_(テレビドラマ)#メイン
文化,TRUE DETECTIVE,TRUE DETECTIVEシーズン1の舞台はどこか？,ルイジアナ州,3,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE#概要
文化,TRUE DETECTIVE,TRUE DETECTIVEシーズン1は何年にHBOチャンネルで放送されたか？,2014年,3,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE
文化,TRUE DETECTIVE,ラスト・コール刑事は誰が演じたか？,マシュー・マコノヒ―,2,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE#シーズン1の主要キャスト
文化,TRUE DETECTIVE,マーティン・ハート刑事は誰が演じたか？,ウディ・ハレルソン,4,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE#シーズン1の主要キャスト
文化,TRUE DETECTIVE,TRUE DETECTIVEは、各シーズンはそれぞれ設定と登場人物が異なる。,YES,1,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE#概要
文化,TRUE DETECTIVE,TRUE DETECTIVEは小説家の誰によって創作され、脚本が書き下ろされたテレビドラマシリーズであるか？,ニック・ピゾラット,4,,https://ja.wikipedia.org/wiki/TRUE_DETECTIVE
文化,ズートピア,『ズートピア』（原題：Zootopia）は、何年のアメリカ合衆国のコメディ・アドベンチャー映画であるか？,2016年,3,,https://ja.wikipedia.org/wiki/ズートピア
文化,ズートピア,ズートピアは人種差別や欺瞞などといった大都市の社会問題を描いている。,YES,1,,https://ja.wikipedia.org/wiki/ズートピア#概要
文化,ズートピア,ジュディは、なぜ警察官になることを夢見ていたか？,よりよい世界を作るため,2,,https://ja.wikipedia.org/wiki/ズートピア#ストーリー
文化,ズートピア,ジュディは肉食動物に対し差別的な発言をしてしまうか？,YES,1,,https://ja.wikipedia.org/wiki/ズートピア#ストーリー
文化,ズートピア,凶暴化事件の原因はなにか？,夜の遠吠え,2,,https://ja.wikipedia.org/wiki/ズートピア#ストーリー
文化,ズートピア,ジュディ・ホップスは何匹の兄弟がいるか？,275匹,5,,https://ja.wikipedia.org/wiki/ズートピア#主人公
文化,ハンニバル（ドラマ）,『ハンニバル』（原題：Hannibal）はトマス・ハリスの何の小説を原作にしたアメリカのテレビドラマか？,レッド・ドラゴン,3,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)
文化,ハンニバル（ドラマ）,ウィル・グレアムは、自閉症スペクトラムである。,YES,2,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)#ストーリー
文化,ハンニバル（ドラマ）,シーズン1ではフランス料理のコースの名前がサブタイトルになっている。,YES,2,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)#サブタイトル
文化,ハンニバル（ドラマ）,シーズン2では日本料理の懐石の流れがサブタイトルになっている。,YES,2,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)#サブタイトル
文化,ハンニバル（ドラマ）,シーズン3ではイタリア料理のコースの流れがサブタイトルになっている。,YES,2,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)#サブタイトル
文化,ハンニバル（ドラマ）,ドラマ打ち切りの理由の1つに番組の違法ダウンロードがある。,YES,4,,https://ja.wikipedia.org/wiki/ハンニバル_(ドラマ)#放送
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
