Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
自然,水,日本語では、水蒸気が凝結して空気中に細かな粒として存在する水をなんといいますか？,湯気,2,,https://ja.wikipedia.org/wiki/水#呼称
自然,小笠原諸島の自然,小笠原諸島はどこに属しますか？,東京都小笠原村,3,,https://ja.wikipedia.org/wiki/小笠原諸島の自然
自然,小笠原諸島の自然,小笠原諸島を構成する島々は大陸や大きな島と陸続きになったことがありますか？,いいえ,3,,https://ja.wikipedia.org/wiki/小笠原諸島の自然
自然,小笠原諸島の自然,小笠原諸島の総面積は約何平方キロメートルですか？,約105平方キロメートル,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#小笠原諸島の概要
自然,小笠原諸島の自然,生物地理区の区分上において、小笠原諸島はどこに属していますか？,オセアニア区,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#小笠原諸島の生物相の特徴
自然,小笠原諸島の自然,テリハハマボウは何から分化した種と考えられていますか？,オオハマボウ,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#植物相
自然,小笠原諸島の自然,かつて湿性低木林であった場所の多くは現在、何が繁茂していますか？,リュウキュウマツ,4,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#湿性高木林と雲霧帯
自然,小笠原諸島の自然,かつて湿性低木林であった場所の多くは現在、何が繁茂していますか？,ムニンヒメツバキ,4,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#絶滅種について
自然,小笠原諸島の自然,鳥類については何種の絶滅種、亜種が確認されていますか？,6種,5,,https://ja.wikipedia.org/wiki/小笠原諸島の自然#絶滅種について
自然,風,風とは何ですか？,空気の流れのこと,4,,https://ja.wikipedia.org/wiki/風
自然,風,風とは何ですか？,流れる空気自体のこと,4,,https://ja.wikipedia.org/wiki/風
自然,風,風が全くない無風状態のことを何といいますか？,凪,4,,https://ja.wikipedia.org/wiki/風#「風」という言葉の意味
自然,風,風向は通常何方位で表しますか？,16方位,3,,https://ja.wikipedia.org/wiki/風#風の要素
自然,風,等圧線の間隔が狭いほど風はどうですか？,強い,3,,https://ja.wikipedia.org/wiki/風#原因
自然,風,突風の大きさを表す数値として適しているのは何ですか？,最大瞬間風速,4,,https://ja.wikipedia.org/wiki/風#風の変化
自然,風,海岸付近で日中と夜間で風向が逆転することを何といいますか？,海陸風,3,,https://ja.wikipedia.org/wiki/風#それぞれの地域の風
自然,風,風で室内の空気を入れ替えるものは何ですか？,換気,3,,https://ja.wikipedia.org/wiki/風#生活
自然,火,火とは何を出す現象ですか？,熱,3,,https://ja.wikipedia.org/wiki/火
自然,火,火とは何を出す現象ですか？,光,3,,https://ja.wikipedia.org/wiki/火
自然,火,古代ギリシアにおいては4大元素の一つと考えられましたか？,はい,4,,https://ja.wikipedia.org/wiki/火
自然,火,火は何を汚染しますか？,水質,3,,https://ja.wikipedia.org/wiki/火
自然,火,火は何を汚染しますか？,土壌,3,,https://ja.wikipedia.org/wiki/火
自然,火,火は何を汚染しますか？,大気,3,,https://ja.wikipedia.org/wiki/火
自然,火,紙巻きたばこは常にどちら側が熱いですか？,内側,4,,https://ja.wikipedia.org/wiki/火#熱
自然,火,火は何がなくなれば消えますか？,燃料,2,,https://ja.wikipedia.org/wiki/火#維持
自然,ラムサール条約,ラムサール条約は何の保存に関する国際条約ですか？,湿地,2,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,この条約が作成された地はイランのどこですか？,ラムサール,1,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,ラムサール条約はいつ発効しましたか？,12/21/75,5,,https://ja.wikipedia.org/wiki/ラムサール条約
自然,ラムサール条約,日本政府が最初に指定地候補に上げたのはどこですか？,釧路湿原,4,,https://ja.wikipedia.org/wiki/ラムサール条約#概要
自然,ラムサール条約,日本の事務局はどこですか？,釧路国際ウェットランドセンター,5,,https://ja.wikipedia.org/wiki/ラムサール条約#概要
自然,ラムサール条約,サロベツ原野は登録湿地ですか？,はい,4,,https://ja.wikipedia.org/wiki/ラムサール条約#日本の登録湿地
自然,レッドリスト,レッドリストは何のおそれがある野生生物のリストですか？,絶滅,3,,https://ja.wikipedia.org/wiki/レッドリスト
自然,レッドリスト,最初のIUCN版レッドリストが作成されたのはいつですか？,1966年,4,,https://ja.wikipedia.org/wiki/レッドリスト#概要
自然,レッドリスト,絶滅危惧、希少、現象、非認定の4つの評価基準が定められたのはいつですか？,1969年,5,,https://ja.wikipedia.org/wiki/レッドリスト#カテゴリーと基準
自然,レッドリスト,初めて本の形式で発表されたのはいつですか？,1986年,5,,https://ja.wikipedia.org/wiki/レッドリスト#レッドリストの変遷
自然,レッドリスト,インターネットによる情報提供がはじまったのはいつですか？,2000年,5,,https://ja.wikipedia.org/wiki/レッドリスト#レッドリストの変遷
自然,レッドリスト,2007年版の絶滅のおそれがある種は何種ですか？,"16,306種",5,,https://ja.wikipedia.org/wiki/レッドリスト#レッドリストの変遷
自然,世界遺産,世界遺産条約は何年に成立しましたか？,1972年,4,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,初めて抹消された物件は何ですか？,アラビアオリックスの保護区,4,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,保存にとって脅威となる状況に置かれている遺産は何に登録されますか？,危機遺産リスト,4,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,世界遺産の対象は何ですか？,有形の不動産,4,,https://ja.wikipedia.org/wiki/世界遺産#概要
自然,世界遺産,戦時における記念建造物などの毀損を禁じた条約は何ですか？,ハーグ条約,4,,https://ja.wikipedia.org/wiki/世界遺産#前史
自然,世界遺産,日本が世界遺産条約を批准した年はいつですか？,1992年,4,,https://ja.wikipedia.org/wiki/世界遺産#登録対象の拡大
自然,小歩危ダム計画,小歩危ダム計画は何に基づき計画された事業ですか？,吉野川総合開発計画,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画
自然,小歩危ダム計画,当初の計画では、総貯水容量は何トンでしたか？,3億750万トン,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画
自然,小歩危ダム計画,吉野川改訂改修計画が策定されたのはいつですか？,1949年,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#沿革
自然,小歩危ダム計画,小歩危ダムの目的は何ですか？,洪水調節,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#目的
自然,小歩危ダム計画,小歩危ダムの目的は何ですか？,かんがい,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#目的
自然,小歩危ダム計画,小歩危ダムの目的は何ですか？,水力発電,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#目的
自然,小歩危ダム計画,小歩危ダム計画の中止が決定したのはいつですか？,1971年,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#中止へ
自然,小歩危ダム計画,早明浦ダムの堤高を100mから何メートルに変更しましたか？,106m,5,,https://ja.wikipedia.org/wiki/小歩危ダム計画#中止へ
自然,音,心理学的には何を「音」と呼びますか？,聴覚的感覚,4,,https://ja.wikipedia.org/wiki/音
自然,音,物理学的には何を音と呼びますか？,音波そのもの,4,,https://ja.wikipedia.org/wiki/音
自然,音,人の歌声は楽音ですか？,はい,4,,https://ja.wikipedia.org/wiki/音#音楽における音
自然,音,音波を伝える物質は何と呼ばれますか？,媒質,3,,https://ja.wikipedia.org/wiki/音#物理学における音：音波
自然,音,待機中の音速はおよそ何m/sですか？,344m/s,3,,https://ja.wikipedia.org/wiki/音#音速
自然,音,SI単位系において音圧の単位は何ですか？,パスカル,4,,https://ja.wikipedia.org/wiki/音#音圧
自然,水,水は何と何の化合物ですか？,酸素,1,,https://ja.wikipedia.org/wiki/水
自然,水,水は何と何の化合物ですか？,水素,1,,https://ja.wikipedia.org/wiki/水
自然,水,生物体を構成する物質で、最も多くを占めるのは何ですか？,水,2,,https://ja.wikipedia.org/wiki/水#概説
自然,水,現代の人類の水の使用量の約7割は何ですか？,農業用水,4,,https://ja.wikipedia.org/wiki/水#概説
自然,水,水は特にどこに豊富に存在しますか？,海洋,2,,https://ja.wikipedia.org/wiki/水#概説
自然,水,日常的な日本語では温度が高くなると何といいますか？,湯,2,,https://ja.wikipedia.org/wiki/水#呼称
自然,水,日本語では、水蒸気が凝結して空気中に細かな粒として存在する水を何といいますか？,湯気,2,,https://ja.wikipedia.org/wiki/水#呼称
