Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
徳島大学シラバス平成40年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造の到達目標は，「新規性」「有用性」と何を書面とできる表現能力を習得することですか？,独自性,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300429sirabasuhiru.pdf
徳島大学シラバス平成41年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造の受講者がコンテストに入賞した場合，表彰式への参加費用は自費でですか？,いいえ,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300430sirabasuhiru.pdf
徳島大学シラバス平成42年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の選必区分は何ですか？,選択,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300431sirabasuhiru.pdf
徳島大学シラバス平成43年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の担当教員は誰ですか？,桑村　泰章,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300432sirabasuhiru.pdf
徳島大学シラバス平成44年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の単位数はいくつですか？,1,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300433sirabasuhiru.pdf
徳島大学シラバス平成45年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の到達目標の一つは，最新の何の動向を理解することですか？,労働環境,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300434sirabasuhiru.pdf
徳島大学シラバス平成46年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の参考書は何ですか？,チャート労働基準法,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300435sirabasuhiru.pdf
徳島大学シラバス平成47年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の授業を受ける際には，2時間の授業時間毎に予習と復習をしたうえで授業を受けることが，授業の理解と単位取得のために必要ですか？,はい,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300436sirabasuhiru.pdf
徳島大学シラバス平成48年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの時間割番号は何番ですか？,610118D,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300437sirabasuhiru.pdf
徳島大学シラバス平成49年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの科目分野は何ですか？,理工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300438sirabasuhiru.pdf
徳島大学シラバス平成50年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの担当教員は誰ですか？,畠　一樹,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300439sirabasuhiru.pdf
徳島大学シラバス平成51年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,インターンシップの意義とは，①自主性・独創性のある人材育成②理論の実践による学習効果の向上③は何ですか？,企業が求める人材要件の明確化,,,http://www.tokushima-u.ac.jp/_files/00341660/h300440sirabasuhiru.pdf
徳島大学シラバス平成52年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップは何日間以上のインターンシップの実施が必須ですか？,5,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300441sirabasuhiru.pdf
徳島大学シラバス平成53年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,インターンシップとは，企業・行政機関・公益法人・団体等におけるじっしゅう・研修的な就業体験を通じて，自らの将来計画におけるキャリア・デザインについて考える授業ですか？,はい,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300442sirabasuhiru.pdf
徳島大学シラバス平成54年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の開講学期はいつですか？,3年・後期,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300443sirabasuhiru.pdf
徳島大学シラバス平成55年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の担当教員は誰ですか？,木戸口　善行,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300444sirabasuhiru.pdf
徳島大学シラバス平成56年度入学学生用昼間コース授業概要（シラバス）,熱工学2,内燃機関は，自動車，船舶，航空機や産業，建設，農業用などの何として広く利用されているか？,動力源,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300445sirabasuhiru.pdf
徳島大学シラバス平成57年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の到達目標は，燃料の燃焼による熱エネルギーの生成から何エネルギーへの変換機構を説明できることですか？,動力,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300446sirabasuhiru.pdf
徳島大学シラバス平成58年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2は再試験は講義中に演習を行うので，何を持参しなければなりませんか？,関数電卓,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300447sirabasuhiru.pdf
徳島大学シラバス平成59年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2は高等学校教諭1種免許状（工業）の算定科目ですか？,はい,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300448sirabasuhiru.pdf
徳島大学シラバス平成60年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の対象学生・年次は何コースですか？,電気電子システムコース（昼間）,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300449sirabasuhiru.pdf
徳島大学シラバス平成61年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の担当教員は誰ですか？,永瀬　雅夫,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300450sirabasuhiru.pdf
徳島大学シラバス平成62年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の授業の目的は電気・電子関係のいろいろな素子や部品および装置に使用されている主要な何についての専門知識を習得することですか？,材料,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300451sirabasuhiru.pdf
徳島大学シラバス平成63年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料に関する基礎知識がないと，使用するに当たって部品や装置を壊すだけでなく，大事故を招き，人命を失うことにもなりかねないですか？,はい,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300452sirabasuhiru.pdf
徳島大学シラバス平成64年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学で使用する教科書は何ですか？,電気電子機能材料,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300453sirabasuhiru.pdf
徳島大学シラバス平成65年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の成績評価方法・基準は総合で何割以上の達成度で合格ですか？,6,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300454sirabasuhiru.pdf
徳島大学シラバス平成66年度入学学生用昼間コース授業概要（シラバス）,現像数理2,現像数理2の選必区分は何ですか？,選択,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300455sirabasuhiru.pdf
徳島大学シラバス平成67年度入学学生用昼間コース授業概要（シラバス）,現像数理3,現像数理2の担当教員は誰ですか？,大渕　朗,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300456sirabasuhiru.pdf
徳島大学シラバス平成68年度入学学生用昼間コース授業概要（シラバス）,現像数理4,現像数理2の単位数はいくつですか？,2,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300457sirabasuhiru.pdf
徳島大学シラバス平成69年度入学学生用昼間コース授業概要（シラバス）,現像数理5,現像数理2ではプログラムなどの作成も行いますか？,はい,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300458sirabasuhiru.pdf
徳島大学シラバス平成70年度入学学生用昼間コース授業概要（シラバス）,現像数理6,現像数理2の成績評価方法・基準は何ですか？,課題，レポートの結果と定期試験,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300459sirabasuhiru.pdf
徳島大学シラバス平成71年度入学学生用昼間コース授業概要（シラバス）,現像数理7,現像数理2はなんの教免科目ですか？,情報,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300460sirabasuhiru.pdf
徳島大学シラバス平成72年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学の開講学期はいつですか？,4年・前期,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300461sirabasuhiru.pdf
徳島大学シラバス平成73年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学の担当教員は誰ですか？,右手　浩一,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300462sirabasuhiru.pdf
徳島大学シラバス平成74年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学の単位数はいくつですか？,2,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300463sirabasuhiru.pdf
徳島大学シラバス平成75年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学は再試験を行いますか？,いいえ,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300464sirabasuhiru.pdf
徳島大学シラバス平成76年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学は何の教免科目ですか？,高等学校教諭一種免許状,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300465sirabasuhiru.pdf
徳島大学シラバス平成77年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,応用化学及び化学工学の授業を受ける際には，2時間以上の授業時間毎に2時間の予習と2時間の復習をしたうえで授業を受けることが，授業の理解と単位取得のために必要ですか？,はい,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300466sirabasuhiru.pdf
徳島大学シラバス平成78年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の科目分野は何ですか？,土木工学,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300467sirabasuhiru.pdf
徳島大学シラバス平成79年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の担当教員は誰ですか？,上野　勝利,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300468sirabasuhiru.pdf
徳島大学シラバス平成80年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の時間割番号はいくつですか？,611062D,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300469sirabasuhiru.pdf
徳島大学シラバス平成81年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の単位数はいくつですか？,2,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300470sirabasuhiru.pdf
徳島大学シラバス平成82年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の授業の目的は最近の土の力学の理論的基礎を成している限界上体の土質力学を何を対象にして習得することを目的としていますか？,粘土・砂,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300471sirabasuhiru.pdf
徳島大学シラバス平成83年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の使用言語は日本語ですか？,はい,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300472sirabasuhiru.pdf
徳島大学シラバス平成84年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の科目分野は何ですか？,機械工学,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300473sirabasuhiru.pdf
徳島大学シラバス平成85年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の担当教員は誰ですか？,大石　昌嗣,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300474sirabasuhiru.pdf
徳島大学シラバス平成86年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の授業概要は軸の強度，軸継手，軸受，ばね要素および何について解説しますか？,油圧要素の性能・構造ならびに設計方法,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300475sirabasuhiru.pdf
徳島大学シラバス平成87年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の到達目標は何を理解することですか？,機械要素の働きとその設計法,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300476sirabasuhiru.pdf
徳島大学シラバス平成88年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の成績評価方法・基準のレポート点は何%ですか？,50,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300477sirabasuhiru.pdf
徳島大学シラバス平成89年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2は再試験を行いますか？,いいえ,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300478sirabasuhiru.pdf
徳島大学シラバス平成30年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎 の科目分野は？,理工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成31年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の開講学期は？,2年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成32年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成33年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成34年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の対象学生・年次は？,全コース,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成35年度入学学生用昼間コース授業概要（シラバス）,プロジェクトマネジメント基礎,プロジェクトマネジメント基礎の再試験はあるか？,ない,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成36年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の開講学期は？,2年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成37年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の科目分野は？,理工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成38年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成39年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成40年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の担当教員は？,出口祥啓,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成41年度入学学生用昼間コース授業概要（シラバス）,アイデア・デザイン創造,アイデア・デザイン創造 の再試験はあるか？,ない,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成42年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理 の開講学期は？,2年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成43年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理 の科目分野は？,理工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成44年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の選必区分は？,選択,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成45年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理 の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成46年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の担当教員は？,桑村泰章,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成47年度入学学生用昼間コース授業概要（シラバス）,労務管理,労務管理の再試験はあるか？,ない,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成48年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの開講学期は？,3年通年,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成49年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップ の科目分野は？,理工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成50年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの選必区分は？,選択,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成51年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成52年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの担当教員は？,畠一樹,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成53年度入学学生用昼間コース授業概要（シラバス）,短期インターンシップ,短期インターンシップの再試験はあるか？,なし,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成54年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の開講学期は？,3年通年,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成55年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2 の科目分野は？,機械工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成56年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成57年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成58年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の担当教員は？,木戸口善行,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成59年度入学学生用昼間コース授業概要（シラバス）,熱工学2,熱工学2の再試験はあるか？,なし,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成60年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の開講学期は？,4年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成61年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の科目分野は？,電気電子工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成62年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の選必区分は？,選必修,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成63年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成64年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の担当教員は？,永瀬雅夫,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成65年度入学学生用昼間コース授業概要（シラバス）,電気・電子材料工学,電気・電子材料工学の再試験はあるか？,なし,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成66年度入学学生用昼間コース授業概要（シラバス）,現像数理2,現象数理2の開講学期は？,3年後期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成67年度入学学生用昼間コース授業概要（シラバス）,現像数理3,現象数理2 の科目分野は？,数理科学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成68年度入学学生用昼間コース授業概要（シラバス）,現像数理4,現象数理2の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成69年度入学学生用昼間コース授業概要（シラバス）,現像数理5,現象数理2の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成70年度入学学生用昼間コース授業概要（シラバス）,現像数理6,現象数理2の担当教員は？,大渕朗,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成71年度入学学生用昼間コース授業概要（シラバス）,現像数理7,現象数理2の再試験はあるか？,なし,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成72年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,基礎分析化学は必修であるか？,はい,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成73年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,有機化学序論には定期試験があるか？,ある,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成74年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,基礎物理学には再試験があるか？,ある,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成75年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,有機化学1には再試験があるか？,ない,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成76年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,基礎無機化学には中間試験がある？,ある,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成77年度入学学生用昼間コース授業概要（シラバス）,応用科学及び化学工学,物理化学の定期試験の割合は？,6割,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成78年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の開講学期は？,4年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成79年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の科目分野は？,土木工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成80年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成81年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成82年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の担当教員は？,上野勝利,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成83年度入学学生用昼間コース授業概要（シラバス）,地盤力学,地盤力学の再試験はあるか？,なし,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成84年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の開講学期は？,4年前期,3,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成85年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2 の科目分野は？,機械工学,4,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成86年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の選必区分は？,選択,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成87年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の単位数は？,2,1,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成88年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の担当教員は？,大石昌嗣,5,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
徳島大学シラバス平成89年度入学学生用昼間コース授業概要（シラバス）,機械設計2,機械設計2の再試験はあるか？,なし,2,,http://www.tokushima-u.ac.jp/_files/00341660/h300424sirabasuhiru.pdf
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
